evaluation_month,n_common_sample_months
2000-01,114
2000-02,115
2000-03,115
2000-04,117
2000-05,118
2000-06,119
2000-07,120
2000-08,114
2000-09,115
2000-10,115
2000-12,118
2001-01,114
2001-02,115
2001-03,116
2001-04,117
2001-05,118
2001-06,119
2001-07,114
2001-08,115
2001-09,116
2001-10,114
2001-11,114
2001-12,114
2002-01,115
2002-02,116
2002-03,117
2002-04,118
2002-05,119
2002-06,120
2002-07,120
2002-08,120
2002-09,120
2002-10,120
2002-11,120
2002-12,120
2003-01,114
2003-02,115
2003-03,116
2003-04,117
2003-05,118
2003-06,119
2003-07,120
2003-08,120
2003-09,120
2003-10,120
2003-11,120
2003-12,120
2004-01,115
2004-02,116
2004-03,117
2004-04,118
2004-05,119
2004-06,120
2004-07,120
2004-08,120
2004-09,120
2004-10,117
2004-11,116
2004-12,120
2005-01,120
2005-02,120
2005-03,120
2005-04,120
2005-05,120
2005-06,120
2005-07,120
2005-08,115
2005-09,120
2005-10,117
2005-11,114
2005-12,114
2006-01,115
2006-02,116
2006-03,118
2006-04,118
2006-05,119
2006-06,120
2006-07,120
2006-08,120
2006-09,120
2006-10,120
2006-11,120
2006-12,120
2007-01,120
2007-02,120
2007-03,114
2007-04,115
2007-05,116
2007-06,117
2007-07,118
2007-08,119
2007-09,120
2007-10,120
2007-11,120
2007-12,120
2008-01,120
2008-02,120
2008-03,120
2008-04,114
2008-05,115
2008-06,116
2008-07,117
2008-08,118
2008-09,119
2008-10,120
2008-11,120
2008-12,114
2009-01,115
2009-02,114
2009-03,114
2009-04,115
2009-05,114
2009-06,114
2009-07,115
2009-08,116
2009-09,117
2009-10,118
2009-11,114
2009-12,115
2010-01,116
2010-02,117
2010-03,118
2010-04,119
2010-05,114
2010-06,115
2010-07,116
2010-08,117
2010-09,118
2010-10,119
2010-11,120
2010-12,120
2011-01,114
2011-02,115
2011-03,116
2011-04,117
2011-05,114
2011-06,115
2011-07,114
2011-08,115
2011-09,120
2011-10,117
2011-11,118
2011-12,120
2012-01,120
2012-02,120
2012-03,120
2012-04,120
2012-05,120
2012-06,114
2012-07,115
2012-08,116
2012-09,117
2012-10,118
2012-11,119
2012-12,120
2013-01,120
2013-02,120
2013-03,120
2013-04,120
2013-05,120
2013-06,120
2013-07,114
2013-08,115
2013-09,120
2013-10,120
2013-11,120
2013-12,120
2014-01,120
2014-02,115
2014-03,114
2014-04,115
2014-05,116
2014-06,114
2014-07,114
2014-08,115
2014-09,116
2014-10,117
2014-11,118
2014-12,119
2015-01,120
2015-02,120
2015-03,120
2015-04,120
2015-05,120
2015-06,120
2015-07,120
2015-08,120
2015-09,120
2015-10,120
2015-11,120
2015-12,114
2016-01,115
2016-02,116
2016-03,117
2016-04,118
2016-05,119
2016-06,120
2016-07,120
2016-08,120
2016-09,120
2016-10,120
2016-11,114
2016-12,115
2017-01,116
2017-02,117
2017-03,118
2017-04,119
2017-05,120
2017-06,120
2017-07,120
2017-08,120
2017-09,120
2017-10,114
2017-11,115
2017-12,116
2018-01,117
2018-02,118
2018-03,119
2018-04,120
2018-05,120
2018-06,120
2018-07,120
2018-08,120
2018-09,120
2018-10,120
2018-11,120
2018-12,120
2019-01,120
2019-02,120
2019-03,120
2019-04,120
2019-05,120
2019-06,120
2019-07,120
2019-08,120
2019-09,120
2019-10,120
2019-11,120
2019-12,120
2020-01,114
2020-02,115
2020-03,116
2020-04,114
2020-05,115
2020-06,116
2020-07,117
2020-08,118
2020-09,119
2020-10,120
2020-11,120
2020-12,120
2021-01,120
2021-02,120
2021-03,120
2021-04,120
2021-05,120
2021-06,120
2021-07,120
2021-08,120
2021-09,120
2021-10,120
2021-11,120
2021-12,114
